"country_code","region_name","iata","icao","airport","latitude","longitude"
"AE","Ash Shariqah","SHJ","OMSJ","Sharjah International Airport","25.32859993","55.51720047"
"AE","Abu Zaby","AZI","OMAD","Al Bateen Executive Airport","24.42830086","54.45809937"
"AE","Al Fujayrah","FJR","OMFJ","Fujairah International Airport","25.11219978","56.32400131"
"AE","Abu Zaby","XSB","OMBY","Sir Bani Yas Airport","24.283611","52.580278"
"AE","Ra's al Khaymah","RKT","OMRK","Ras Al Khaimah International Airport","25.6135006","55.93880081"
"AE","Dubayy","DWC","OMDW","Al Maktoum International Airport","24.896356","55.161389"
"AE","Abu Zaby","DHF","OMAM","Al Dhafra Air Base","24.24819946","54.54769897"
"AE","Abu Zaby","ZDY","OMDL","Dalma Airport","24.51","52.3352"
"AE","Dubayy","DCG","","Dubai Creek Seaplane Base","25.24222222","55.33138889"
"AE","Abu Zaby","AYM","","Yas Island Seaplane Base","24.467","54.6103"
"AE","Dubayy","DJH","","Jebel Ali Seaplane Base","24.988967","55.023796"
"AE","Ra's al Khaymah","RHR","","Al Hamra Seaplane Base","25.691","55.778"
"AE","Dubayy","DXB","OMDB","Dubai International Airport","25.25279999","55.36439896"
"AE","Abu Zaby","AAN","OMAL","Al Ain International Airport","24.26169968","55.60919952"
"AE","Dubayy","NHD","OMDM","Al Minhad Air Base","25.02680016","55.36619949"
"AE","Abu Zaby","AUH","OMAA","Abu Dhabi International Airport","24.43300056","54.65110016"
"AF","Farah","FAH","OAFR","Farah Airport","32.36700058","62.18299866"
"AF","Faryab","MMZ","OAMN","Maymana Airport","35.93080139","64.7609024"
"AF","Khost","OLR","OASL","Forward Operating Base Salerno","33.3638","69.9561"
"AF","Badakhshan","KWH","OAHN","Khwahan Airport","37.88299942","70.21700287"
"AF","Ghazni","SBF","OADS","Sardeh Band Airport","33.3207016","68.6364975"
"AF","Kabul","KBL","OAKB","Hamid Karzai International Airport","34.565899","69.212303"
